name,hash,id_item,person_label,seconds,readable,dst_path,group_name,folder_order
2578_2934_front_M_Sweatshirt_1_1_item_2.pes,1e89d8ec,2934,B,1114.0749999999998,18m 34s,D:\WORK\WEB\SortFilePes\sorted\B\001_1e89d8ec\2578_2934_front_M_Sweatshirt_1_1_item_2.pes,001_1e89d8ec,1
2578_2935_front_M_Sweatshirt_1_1_item_2.pes,d531a3ab,2935,C,1234.325,20m 34s,D:\WORK\WEB\SortFilePes\sorted\C\001_d531a3ab\2578_2935_front_M_Sweatshirt_1_1_item_2.pes,001_d531a3ab,1
2579_2936_front_XL_Sweatshirt_1_1_item_1.pes,1e89d8ec,2936,B,1114.0749999999998,18m 34s,D:\WORK\WEB\SortFilePes\sorted\B\001_1e89d8ec\2579_2936_front_XL_Sweatshirt_1_1_item_1.pes,001_1e89d8ec,1
2580_2937_front_M_Sweatshirt_1_1_item_1.pes,7d4ae708,2937,B,2487.375,41m 27s,D:\WORK\WEB\SortFilePes\sorted\B\002_7d4ae708\2580_2937_front_M_Sweatshirt_1_1_item_1.pes,002_7d4ae708,2
2581_2938_front_XL_Sweatshirt_1_1_item_1.pes,d531a3ab,2938,C,1234.325,20m 34s,D:\WORK\WEB\SortFilePes\sorted\C\001_d531a3ab\2581_2938_front_XL_Sweatshirt_1_1_item_1.pes,001_d531a3ab,1
2582_2939_front_M_Sweatshirt_1_1_item_2.pes,1e89d8ec,2939,B,1114.0749999999998,18m 34s,D:\WORK\WEB\SortFilePes\sorted\B\001_1e89d8ec\2582_2939_front_M_Sweatshirt_1_1_item_2.pes,001_1e89d8ec,1
2582_2940_front_M_Sweatshirt_1_1_item_2.pes,d531a3ab,2940,C,1234.325,20m 34s,D:\WORK\WEB\SortFilePes\sorted\C\001_d531a3ab\2582_2940_front_M_Sweatshirt_1_1_item_2.pes,001_d531a3ab,1
2583_2941_front_M_Sweatshirt_1_1_item_1.pes,1e89d8ec,2941,B,1114.0749999999998,18m 34s,D:\WORK\WEB\SortFilePes\sorted\B\001_1e89d8ec\2583_2941_front_M_Sweatshirt_1_1_item_1.pes,001_1e89d8ec,1
2584_2942_front_M_Sweatshirt_1_1_item_2.pes,1e89d8ec,2942,B,1114.0749999999998,18m 34s,D:\WORK\WEB\SortFilePes\sorted\B\001_1e89d8ec\2584_2942_front_M_Sweatshirt_1_1_item_2.pes,001_1e89d8ec,1
2584_2943_front_M_Sweatshirt_1_1_item_2.pes,d531a3ab,2943,C,1234.325,20m 34s,D:\WORK\WEB\SortFilePes\sorted\C\001_d531a3ab\2584_2943_front_M_Sweatshirt_1_1_item_2.pes,001_d531a3ab,1
2585_2944_front_L_Comfort _1_1_item_1.pes,402ce022,2944,A,615.475,10m 15s,D:\WORK\WEB\SortFilePes\sorted\A\001_402ce022\2585_2944_front_L_Comfort _1_1_item_1.pes,001_402ce022,1
2586_2945_front_S_Comfort _1_1_item_1.pes,453416eb,2945,C,2480.05,41m 20s,D:\WORK\WEB\SortFilePes\sorted\C\002_453416eb\2586_2945_front_S_Comfort _1_1_item_1.pes,002_453416eb,2
2587_2946_front_XL_Comfort _1_1_item_1.pes,dca48ebe,2946,D,2008.125,33m 28s,D:\WORK\WEB\SortFilePes\sorted\D\001_dca48ebe\2587_2946_front_XL_Comfort _1_1_item_1.pes,001_dca48ebe,1
2589_2951_front_XL_Comfort _1_1_item_1.pes,e5e06aa6,2951,A,1201.575,20m 2s,D:\WORK\WEB\SortFilePes\sorted\A\002_e5e06aa6\2589_2951_front_XL_Comfort _1_1_item_1.pes,002_e5e06aa6,2
2590_2952_front_L_Sweatshirt_2_1_item_1.pes,8bd79297,2952,C,1978.5249999999999,32m 59s,D:\WORK\WEB\SortFilePes\sorted\C\003_8bd79297\2590_2952_front_L_Sweatshirt_2_1_item_1.pes,003_8bd79297,3
2590_2952_sleeve_left_L_Sweatshirt_2_2_item_1.pes,a058840a,2952,C,589.525,9m 50s,D:\WORK\WEB\SortFilePes\sorted\C\004_a058840a\2590_2952_sleeve_left_L_Sweatshirt_2_2_item_1.pes,004_a058840a,4
2591_2953_front_M_Sweatshirt_1_1_item_1.pes,528f3d74,2953,B,2915.85,48m 36s,D:\WORK\WEB\SortFilePes\sorted\B\003_528f3d74\2591_2953_front_M_Sweatshirt_1_1_item_1.pes,003_528f3d74,3
2592_2954_front_S_Comfort _1_1_item_1.pes,0ba79bf2,2954,B,828.7,13m 49s,D:\WORK\WEB\SortFilePes\sorted\B\004_0ba79bf2\2592_2954_front_S_Comfort _1_1_item_1.pes,004_0ba79bf2,4
2593_2955_front_XL_Comfort _1_1_item_1.pes,de319648,2955,A,1786.3,29m 46s,D:\WORK\WEB\SortFilePes\sorted\A\003_de319648\2593_2955_front_XL_Comfort _1_1_item_1.pes,003_de319648,3
2594_2956_front_L_Sweatshirt_1_1_item_2.pes,ea20aa84,2956,B,2998.15,49m 58s,D:\WORK\WEB\SortFilePes\sorted\B\005_ea20aa84\2594_2956_front_L_Sweatshirt_1_1_item_2.pes,005_ea20aa84,5
2595_2958_front_L_Comfort _1_1_item_1.pes,b32abb18,2958,B,1650.6999999999998,27m 31s,D:\WORK\WEB\SortFilePes\sorted\B\006_b32abb18\2595_2958_front_L_Comfort _1_1_item_1.pes,006_b32abb18,6
2596_2959_front_L_Sweatshirt_1_1_item_1.pes,1381a02b,2959,B,2496.3,41m 36s,D:\WORK\WEB\SortFilePes\sorted\B\007_1381a02b\2596_2959_front_L_Sweatshirt_1_1_item_1.pes,007_1381a02b,7
2597_2960_front_M_Sweatshirt_1_1_item_1.pes,8122d11f,2960,B,2019.4,33m 39s,D:\WORK\WEB\SortFilePes\sorted\B\008_8122d11f\2597_2960_front_M_Sweatshirt_1_1_item_1.pes,008_8122d11f,8
2598_2961_front_M_Sweatshirt_1_1_item_1.pes,c30a3bc6,2961,A,685.675,11m 26s,D:\WORK\WEB\SortFilePes\sorted\A\004_c30a3bc6\2598_2961_front_M_Sweatshirt_1_1_item_1.pes,004_c30a3bc6,4
2599_2962_front_M_Sweatshirt_1_1_item_1.pes,c30a3bc6,2962,A,685.675,11m 26s,D:\WORK\WEB\SortFilePes\sorted\A\004_c30a3bc6\2599_2962_front_M_Sweatshirt_1_1_item_1.pes,004_c30a3bc6,4
2600_2963_front_XL_Sweatshirt_1_1_item_1.pes,81ad0234,2963,B,1414.55,23m 35s,D:\WORK\WEB\SortFilePes\sorted\B\009_81ad0234\2600_2963_front_XL_Sweatshirt_1_1_item_1.pes,009_81ad0234,9
2601_2964_front_M_Sweatshirt_2_1_item_1.pes,9bd45952,2964,B,482.575,8m 3s,D:\WORK\WEB\SortFilePes\sorted\B\010_9bd45952\2601_2964_front_M_Sweatshirt_2_1_item_1.pes,010_9bd45952,10
2601_2964_sleeve_right_M_Sweatshirt_2_2_item_1.pes,90d4cccf,2964,B,275.15,4m 35s,D:\WORK\WEB\SortFilePes\sorted\B\011_90d4cccf\2601_2964_sleeve_right_M_Sweatshirt_2_2_item_1.pes,011_90d4cccf,11
2602_2965_front_XL_Sweatshirt_1_1_item_1.pes,63665bb6,2965,C,1007.275,16m 47s,D:\WORK\WEB\SortFilePes\sorted\C\005_63665bb6\2602_2965_front_XL_Sweatshirt_1_1_item_1.pes,005_63665bb6,5
2603_2966_front_S_Sweatshirt_1_1_item_1.pes,aba07a5b,2966,A,2652.325,44m 12s,D:\WORK\WEB\SortFilePes\sorted\A\005_aba07a5b\2603_2966_front_S_Sweatshirt_1_1_item_1.pes,005_aba07a5b,5
2604_2967_front_L_Sweatshirt_1_1_item_1.pes,aba07a5b,2967,A,2652.325,44m 12s,D:\WORK\WEB\SortFilePes\sorted\A\005_aba07a5b\2604_2967_front_L_Sweatshirt_1_1_item_1.pes,005_aba07a5b,5
2605_2968_front_XL_Sweatshirt_1_1_item_1.pes,aba07a5b,2968,A,2652.325,44m 12s,D:\WORK\WEB\SortFilePes\sorted\A\005_aba07a5b\2605_2968_front_XL_Sweatshirt_1_1_item_1.pes,005_aba07a5b,5
2606_2969_front_2XL_Sweatshirt_1_1_item_1.pes,aba07a5b,2969,A,2652.325,44m 12s,D:\WORK\WEB\SortFilePes\sorted\A\005_aba07a5b\2606_2969_front_2XL_Sweatshirt_1_1_item_1.pes,005_aba07a5b,5
2607_2970_front_L_Sweatshirt_1_1_item_1.pes,aba07a5b,2970,A,2652.325,44m 12s,D:\WORK\WEB\SortFilePes\sorted\A\005_aba07a5b\2607_2970_front_L_Sweatshirt_1_1_item_1.pes,005_aba07a5b,5
2608_2971_front_3XL_Sweatshirt_1_1_item_1.pes,aba07a5b,2971,A,2652.325,44m 12s,D:\WORK\WEB\SortFilePes\sorted\A\005_aba07a5b\2608_2971_front_3XL_Sweatshirt_1_1_item_1.pes,005_aba07a5b,5
2609_2972_front_L_Sweatshirt_1_1_item_1.pes,aba07a5b,2972,A,2652.325,44m 12s,D:\WORK\WEB\SortFilePes\sorted\A\005_aba07a5b\2609_2972_front_L_Sweatshirt_1_1_item_1.pes,005_aba07a5b,5
2610_2973_front_S_Sweatshirt_1_1_item_1.pes,aba07a5b,2973,A,2652.325,44m 12s,D:\WORK\WEB\SortFilePes\sorted\A\005_aba07a5b\2610_2973_front_S_Sweatshirt_1_1_item_1.pes,005_aba07a5b,5
2611_2974_front_2XL_Sweatshirt_1_1_item_1.pes,5c3e5c79,2974,A,500.29999999999995,8m 20s,D:\WORK\WEB\SortFilePes\sorted\A\006_5c3e5c79\2611_2974_front_2XL_Sweatshirt_1_1_item_1.pes,006_5c3e5c79,6
2612_2975_front_L_Sweatshirt_1_1_item_1.pes,8c4c3603,2975,C,1523.225,25m 23s,D:\WORK\WEB\SortFilePes\sorted\C\006_8c4c3603\2612_2975_front_L_Sweatshirt_1_1_item_1.pes,006_8c4c3603,6
2613_2976_front_2XL_Comfort _1_1_item_1.pes,32fddf6d,2976,C,432.95,7m 13s,D:\WORK\WEB\SortFilePes\sorted\C\007_32fddf6d\2613_2976_front_2XL_Comfort _1_1_item_1.pes,007_32fddf6d,7
2614_2977_front_2XL_Comfort _1_1_item_1.pes,32fddf6d,2977,C,432.95,7m 13s,D:\WORK\WEB\SortFilePes\sorted\C\007_32fddf6d\2614_2977_front_2XL_Comfort _1_1_item_1.pes,007_32fddf6d,7
2615_2978_front_M_Sweatshirt_1_1_item_1.pes,0920b62f,2978,D,1871.125,31m 11s,D:\WORK\WEB\SortFilePes\sorted\D\002_0920b62f\2615_2978_front_M_Sweatshirt_1_1_item_1.pes,002_0920b62f,2
2616_2979_front_2XL_Sweatshirt_1_1_item_1.pes,d72e2031,2979,B,1952.3500000000001,32m 32s,D:\WORK\WEB\SortFilePes\sorted\B\012_d72e2031\2616_2979_front_2XL_Sweatshirt_1_1_item_1.pes,012_d72e2031,12
2617_2980_front_M_Comfort _1_1_item_1.pes,dca48ebe,2980,D,2008.125,33m 28s,D:\WORK\WEB\SortFilePes\sorted\D\001_dca48ebe\2617_2980_front_M_Comfort _1_1_item_1.pes,001_dca48ebe,1
